page,title,article,category
https://www.bbc.com/news/uk-politics-56586939,Ex-politicians should be very careful - minister,"Robert Jenrick told the BBC it was important not to ""harm your office or public life more generally"".,His remarks follow criticism of former Prime Minister David Cameron over his paid role with the financial company Greensill Capital.,Mr Cameron has not commented on the matter.,Labour has asked the Committee on Standards in Public Life to examine his reported part in lobbying the government on behalf of Greensill Capital after it employed him as an adviser.,It has also written to Cabinet Secretary Simon Case, requesting a ""full, transparent and thorough investigation"" into the company's ""links with the Conservatives"". ,The Financial Times has reported that Mr Cameron unsuccessfully tried to increase Greenhill Capital's involvement in a scheme offering government-backed loans to Covid-hit companies.,He was reported to have contacted officials, as well as Chancellor Rishi Sunak.,Politicians have to wait for two years after leaving office before they can be employed as lobbyists, whose job it is to influence government decisions.,Mr Cameron, who was prime minister from 2010 to 2016, started work for Greensill Capital in 2018.,Asked on the BBC News Channel if the rules needed tightening, with the length of the lobbying ban for former office-holders extended, Mr Jenrick said: ""It's difficult to prohibit someone who is a private citizen from making a living.,""A former prime minister is an exceptional example - there is a wide range of people who hold office, different degrees from ministers to local councillors.,""But I do think you have to be very careful how you conduct yourself once you leave office and not to use any privileged information and contacts you have in a way that does harm to your office or public life more generally."",Mr Jenrick, an MP since 2014, said he could not comment on Mr Cameron's specific situation as he did not ""know the details"".,But he added: ""For those of us who are lucky enough to be in public office, when that comes to an end, you do have to exercise great care, what you do next."",And Mr Sunak told ITV it was ""right"" for the Treasury to ""engage with stakeholders"", including companies, ""and we do that all the time when people come with policy suggestions"". ,But ""ultimately"" Greensill Capital's proposal had been ""rejected"", the chancellor added.,The company's founder, Lex Greensill, worked as an unpaid government adviser under the Conservative-Liberal Democrat coalition led by Mr Cameron.,The Sunday Times reported that, during his time in the role, he had promoted a government-backed loans scheme to speed up payments to pharmacists.,Greensill Capital later went on to provide funds for the scheme.,Labour wants the Committee on Standards in Public Life to look into the extent of the access to government offered to Mr Greensill under the coalition.,A Downing Street spokesman said: ""Lex Greensill acted as a Supply Chain Finance Adviser from 2012 to 2015 and as a Crown Representative for three years from 2013.,""His appointment was approved in the normal manner and he was not paid for either role."",Last week, a watchdog cleared Mr Cameron of engaging in lobbying for which he was not registered, saying he was exempt from this requirement as an in-house employee of Greensill Capital.",politics
https://www.bbc.com/news/uk-politics-56578838,David Cameron and Greensill: What's it all about?,"Financier Lex Greensill worked as an unpaid adviser to Mr Cameron when he was prime minister, and developed a policy designed to ensure small firms got their bills paid faster. The scheme also benefited Mr Greensill's own company, Greensill Capital.,Mr Cameron went on to work for Greensill Capital after leaving office, and tried unsuccessfully to lobby the government to increase the firm's access to government-backed loans.,Mr Cameron pressed Treasury officials - including reportedly sending Chancellor Rishi Sunak text messages - for emergency funding for Greensill Capital, a company in which the former prime minister had a financial interest.,Mr Cameron is , he was set to earn as much as £60m from shareholdings in Greensill, where he had worked since 2018.,In the end, Mr Cameron's pleas to the Treasury for emergency loans for Greensill Capital, fell on deaf ears.,The firm has now gone bust, throwing the future of thousands of workers at Liberty Steel, a company backed by the finance house, into doubt.,Mr Cameron didn't appear to do anything wrong, under the current rules.,Big business is always keen to fork out for the influence and contacts a big hitter like Mr Cameron - who stood down as prime minister in 2016 - can supposedly offer.,There is nothing illegal about this kind of lobbying, although critics say it needs to be brought out into the open.,There are rules - ,- aimed at preventing abuses, but critics say they do not go far enough.,Although Mr Cameron was , of breaking lobbying rules, , has shed new light on his dealings with Mr Greensill when he was prime minister, in the early days of the Conservative/Lib Dem coalition. ,In 2012, Mr Greensill was made an unpaid government adviser by Mr Cameron, with a Westminster pass and access to government departments.,He used this access to promote a government-backed loan scheme he had devised.,Mr Cameron and the late Lord Heywood, the most powerful man in the civil service at the time, were fully behind it, believing it would help to deliver on a promise to speed up payments to small firms.,But Mr Greensill also stood to make a lot of money from the scheme, even though the Sunday Times claims many in Whitehall had serious reservations about it.,Mr Greensill's specialism was supply chain finance - a service for companies who don't want to wait months for their bills to be paid.,For a small fee, the finance company pays the seller as soon as the goods are delivered, and get its money back when the bills are eventually paid by the customer.,Mr Greensill helped to convince the UK government to set up a supply chain finance scheme for pharmacies - paying them early for money they were owed by the NHS. In 2018, Greensill Capital won the contract to run it.  ,Mr Greensill turbocharged this unglamorous corner of finance by packaging and selling the debts to bigger investors.,In the process, he built a global company, at one point valued at $7bn (£5bn), with a fleet of four private jets.,Questions had been asked before about the sustainability of Greensill's business since at least 2018. ,But the final blow came last July when one of its insurance companies withdrew cover that protected some of Greensill's investors.,Liberty Steel, Britain's third-largest steel producer employing 3,000 people in England, Scotland and Wales, was receiving financial backing from Greensill. ,Its future is now in doubt. ,The relationship between those at the top of government and big business has never been under more scrutiny, following questions ,Critics argue that it is too easy for ministers and top civil servants to use their insider knowledge of Westminster to enrich themselves when they leave government. The danger is that decision-makers could have one eye on their next pay day, rather than the best interests of the country.,In 2010, Mr Cameron warned that the ""the far-too-cosy relationship between politics and money"" was ""the next big scandal waiting to happen"".,There is also a question of access. Who gets time with ministers to push their cause? ,There are thousands of lobbyists - from trade unions to environmental groups to multinational companies - why do some people appear to get favoured treatment?,Labour wants a full inquiry into how Mr Greensill was given access to the heart of government.,The Committee on Standards in Public Life has said it can't investigate individual cases, so it may fall to a select committee if it happens at all.",politics
https://www.bbc.com/news/uk-politics-56592361,Lisa Nandy: Foreign policy affects people at home,"Setting out Labour's approach to foreign policy, Lisa Nandy pointed to how the UK's actions abroad ""affects the lives of people at home"". ,Yet she said foreign policy was too often ""agreed in closed rooms"".,Ms Nandy said Labour wanted to address the ""growing disconnect"" and win back ""the support and consent"" of voters.,She also said a Labour government would make national security a top priority - including working with the EU and Nato to deal with Russian aggression - as well as enhancing environmental security by tackling climate change.,""I want to make the case today that the gulf between what we do abroad and what we choose to deliver for people at home is a direct threat to the security and prosperity of our country,"" she added.,In her first speech on foreign policy since being appointed to the role last year, Ms Nandy told the Chatham House event that ""the global and the local are one and the same"".,She added: ""The world beyond our shores, and our ability to mould and shape it, affects the lives of people at home to an extraordinary degree. ,""Why then, more than the economy, education, or health, is foreign policy so often discussed and agreed in closed rooms without reference to the people affected?"",Ms Nandy said people across the country, from steelworkers to football fans, had seen their lives affected by foreign policy decisions of the government. ,She accused the Conservatives of ""failing to defend the interests of people across our four nations"" - claiming the ""paper-thin"" Brexit agreement had damaged both the Welsh farming industry and turned the Good Friday Agreement into ""a bargaining chip"".,But she also said there had been a ""needlessly antagonistic approach pursued by both sides"" over Brexit, which had ""cost us all"".,The shadow foreign secretary also said Labour was a patriotic party. ,Ms Nandy said its approach would involve starting ""a new national conversation about our place in the world and the sort of country we want to be"".,She added: ""We can build an agenda for Britain that matches the ambition of the people in it - big and generous, not small and petty - measured not in the number of our flags but in the health of our children, the strength of our communities, the dignity of our workforce and the security of our nation.,""That will be the benchmark for the success of our foreign policy.""",politics
https://www.bbc.com/news/uk-politics-56590518,Councils filling potholes 'every 19 seconds',"The Asphalt Industry Alliance said this figure - , - equated to one being fixed every 19 seconds.,The total amount spent by local authorities on filling in potholes in 2020-1 was £93.6m, it added.,The government said it was working to ensure ""smoother, safer journeys"".,Potholes - collapsed areas in the tarmac resulting from the pressure of traffic and bad weather - can be dangerous to motorists and, in particular, cyclists.,The AA told the BBC last year that the pandemic, which has cut traffic levels, presented a ""unique opportunity"" for local authorities to fix more roads.,But, while the pothole-filling figure has risen this year, the Asphalt Industry Alliance's survey still suggests one million fewer were fixed than in 2014-15, when it went as high as 2.7 million.,It also found that the proportion of council-maintained roads in England deemed to be in a ""poor"" state fell from 21% in 2019-20 to 16% this year.,But in Wales it increased from 20% to 21%.,Main roads and motorways in England and Wales are maintained by Highways England and the Welsh Government respectively, while councils look after the upkeep of local, usually more minor, roads.,AA president Edmund King said many of these were still in a ""perilous state"" and that users had to ""run the gauntlet of potholes once they turn into their neighbourhoods"".,He added: ""Government and councils urging more active travel by getting people to switch from car to bicycle doesn't sit right with local roads riddled with potentially lethal potholes."",The Local Government Association, which represents councils in England, has called for £10bn to be spent to bring roads ""up to scratch"".,Nicholas Lyes, head of roads policy at the RAC, said local authorities were ""grappling with crumbling road surfaces"" and called for a more ""long-term approach"" to funding.,But a Department for Transport spokesperson said: ""This government is providing £2.5bn in funding over five years to help councils improve their roads, to ensure all road users have smoother, safer journeys."",The government has published daily figures on road use by motorised vehicles in Great Britain since the beginning of the pandemic last year.,They dipped as low as 23% of the usual level during the first lockdown but are currently at about 80%.",politics
https://www.bbc.com/news/uk-politics-56583153,Sobriety ankle tags' rolled out across England,"The ""sobriety tags"" monitor a wearer's sweat levels every 30 minutes, and alert probation services if alcohol is detected.,Offenders breaching their abstinence order can then be returned to court to face further sanctions.,The scheme has been in operation across Wales since October. ,The government said more than 100 people have been tagged there since then, with offenders staying sober on over 95% of days monitored.,The rollout across England was meant to begin in late 2020, but has been delayed.,Under the scheme, courts will be able to hand out ""alcohol abstinence orders"" to offenders who commit crimes fuelled by alcohol.,These can require the offender to abstain from alcohol for up to four months and wear the electronic tag to monitor compliance. ,Policing and Crime Minister Kit Malthouse said the tags were a ""powerful new tool"" to combat alcohol-fuelled violence and help steer offenders away from ""bad habits"". ,The tags can only be used with offenders over the age of 18, who are not dependent on alcohol or have certain medical conditions. ,The government says the tags can distinguish the difference between drinks and other types of alcohol - such as in hand sanitiser or perfume.,The scheme has already been trialled in Humberside, Lincolnshire, North Yorkshire and London.",politics
https://www.bbc.com/news/uk-politics-56587671,English local elections: UK needs 'a green recovery' says Greens co-leader,"Mr Bartley said people ""desperately need hope"" after an ""incredibly tough year"". ,He said his party would campaign in England for more green jobs, affordable public transport and warmer homes.,The Green Party of England and Wales currently runs, in coalition with other parties, 17 councils. ,Local elections will take place on 6 May for councils, mayors, police and crime commissioners in England and the Scottish and Welsh Parliaments. ,Launching his party's campaign in Battersea Park, south London, Mr Bartley said the country need a ""recovery from this pandemic that doesn't take us back to business as usual"".,He argued that a green recovery was ""not about having less but is about having so much more"".,""We're ready for millions of new jobs, in green jobs, in industries that aren't threatening our future; we're ready for homes that are warmer and cheaper to run, within minutes of the services we need; we're ready for a public transport system that is efficient affordable and not based on profit."",He said the coronavirus lockdown had ""put the spotlight on what we really value - the people we love, our communities, security, our access to nature and green spaces"".,He added that ""a green future is not a pipe dream - it is within our grasp."",In an interview following the launch, Mr Bartley said the pandemic had proved it was possible to do things differently.,""We realised we could take cars off the road; we could pay people's wages; business, if they were supported properly could transition and operate in different ways."",Mr Bartley - who co-leads the party with Sian Berry - said he was hopeful of building on the Green Party's electoral success in 2019 when the party gained almost 200 councillors.,The party's biggest gain came in Brighton and Hove where it won eight additional councillors. However it lost seats in Bath, North East Somerset and Cambridge.,Overall the Green Party came in fourth place behind the Conservatives, Labour and the Liberal Democrats, winning 12.1% of the vote. ",politics
https://www.bbc.com/news/uk-politics-56587669,Covid: Ministers urged to help tenants and landlords with rent arrears,"The housing committee warned that ministers are in danger of breaking their pledge that nobody should lose their home as a result of the pandemic. ,It also said the government's efforts to take all rough sleepers off the streets are now effectively over.,The government said this claim was misleading.,A spokesman said the government spent over £700m this year and £750m next year on tackling homelessness and rough sleeping.,A Resolution Foundation report produced last month , almost half a million families had fallen behind on rent as a result of the coronavirus crisis.,A ban on landlords in England evicting tenants, introduced during the pandemic, has been extended several times and is currently due to expire at the end of May. ,Ministers have suggested there will be no more extensions and that from June the government would introduce a ""new approach"".,The Housing, Communities and Local Government Committee said many renters would be at risk of becoming homeless when the evictions ban ends.,It added that this problem would be exacerbated by rising unemployment as government support schemes taper off.,To prevent a rise in homelessness, MPs said the government should provide specific targeted support to tenants to repay rent arrears built up over the last year.,They estimated this would cost between £200m and £300m and would reduce expenditure on homelessness assistance in the longer term.,A spokesman also said it had given renters ""robust protection"" during the pandemic, ""with longer notice periods of six months and banning bailiff enforcement of evictions for all but the most serious cases until 31 May"".,Welcoming the committee's report, the National Residential Landlords association said it highlighted a ""lack of a clear strategy from the government"".,Its chief executive Ben Beadle said there needs to be ""action to tackle rent debts built as a result of the pandemic"".,""Making direct payment to landlords"" would be ""the best way to sustain tenancies and help landlords receive income"", he said.,The committee praised the ""enormous success"" of the initial stages of the Everyone In Scheme which sought to house rough sleepers during the pandemic.,The scheme helped more than 37,000 people into accommodation and University College London has estimated that as of December 2020, it had prevented 242 deaths.,However, the MPs said a change in government policy in May 2020 meant some people were being left out.,Initially, ministers had encouraged local authorities to help those who had No Recourse to Public Funds (NRPF) - people whose temporary immigration status means they cannot access most financial state support.,But councils were later told they should use their judgement when deciding whether to help those with NRPF.,The committee said this led to confusion and saw many denied support.,""Everyone In by definition has finished as it is no longer helping all those in need of accommodation,"" said committee chair Clive Betts.,The High Court recently ruled that councils should help house people with NRPF during the pandemic - and the committee urged ministers to reflect this in their guidance to local authorities.,Chief executive of homeless charity Crisis, Jon Sparkes said: ""There is no doubt that government action to protect those facing, and at risk of, homelessness during the pandemic transformed lives and prevented many people from destitution.,""The report highlights the need to look beyond the emergency response to achieve lasting change and real progress towards ending homelessness."",Mr Sparkes said there should be an emphasis on ""preventing homelessness before it happens. Addressing the poor supply of social homes and a financial support package for renters in arrears due to the pandemic must be an integral part of this."",Responding to the report, the government said: ""Everyone In is still ongoing and for the committee to suggest otherwise is misleading.,""We are also working with partners to learn any lessons from the pandemic and as part of our ambitious plans to end rough sleeping for good.""",politics
https://www.bbc.com/news/uk-northern-ireland-56586564,Bobby Storey funeral: PPS announces review of decision not to prosecute,"The funeral last June attracted 2,000 mourners - including Deputy First Minister Michelle O'Neill - at a time when Covid restrictions were in place.,The actions of 24 Sinn Féin politicians were examined, including Ms O'Neill.,Separately, Health Minister Robin Swann urged people to stick with restrictions and not be distracted by politics. ,The PPS said it has received requests for a review, including one from a politician on behalf of the public.,Mr Storey, 64, was a senior republican figure and had formerly been the head of intelligence for the IRA in the 1990s.,The attendance of many senior Sinn Féin politicians at his funeral in west Belfast, at a time when strict limits on gatherings were in place, caused a political furore.,The decision not to prosecute anyone in relation to the funeral led to First Minister Arlene Foster on Tuesday calling for the ,. ,She said he had lost the confidence of the unionist community, but he has rejected calls to step down. ,On Wednesday, the PPS said its review process will be carried out by a senior PPS lawyer who was not involved in taking the original decisions. ,""This lawyer will be assisted by obtaining the advice of senior counsel who is independent of the PPS and was also not in any way involved in the original decisions,"" the body said. ,DUP MP Ian Paisley said he welcomed the review decision and that he had, on behalf of a constituent, instructed solicitors to commence a judicial review of the decision, but that has been paused until the review is completed. ,The Northern Ireland Assembly will be recalled on Thursday for a censure motion against Sinn Féin for its members' attendance.,Mrs Foster told Good Morning Ulster that it was ""folly"" to ignore unionists' concerns, and those of the wider community.,""If Simon Byrne believes that he can dig in and stay, then we will have to look at other ways to deal with these issues."",She added: ""It cannot continue as normal."" ,Mrs Foster said Mr Byrne had ""engaged in leading an organisation into a position where they have lost the confidence of the unionist community"".,Party colleague Gordon Lyons said on Wednesday morning that it continues to be the party's position that Michelle O'Neill should also resign. ,The Progressive Unionist Party (PUP) and the TUV have also called on the chief constable to resign. They have questioned whether unionist representatives should remain on the policing board.,Mr Byrne said he would not step down, and that such an action would undermine his predecessor. ,On Wednesday, Mr Byrne told the Nolan Show that police warned the organisers of Bobby Storey's funeral in advance that their plan would be a breach of Covid regulations. ,He also insisted that no deals were done with the organisers. ,""Nobody in the PSNI did a deal or looked the other way,"" Mr Byrne said. ,It is understood that the Police Ombudsman is giving ""careful consideration"" to issues raised in correspondence to the office, believed to be from the DUP. ,This review should not be overstated - it is something that happens, if not on a routine basis, certainly on a regular basis. ,There is a well established internal process within the PPS whereby people who are unhappy with the original decisions can have an internal review of that decision. ,This isn't a new call for evidence. ,This is simply a fresh pair of eyes and a different mind casting their eye over the same evidence and seeing whether the original decision is one that they agree with.,In my experience, it would be unusual for the original decision in these cases to be overturned. ,Mr Byrne said on Tuesday that enforcing the coronavirus regulations has been a ""consistently challenging and often uncomfortable role for my officers"", and that police did recommend prosecutions in the case.,""The decision not to prosecute does not change our view that what happened last summer when large numbers of people chose not to 'stay at home' at the height of a global pandemic was unnecessary, irresponsible and insensitive. It was wrong,"" he added.,Meanwhile, a meeting of the Northern Ireland Policing Board will be held in private on Thursday, but the public element of the meeting has been cancelled.  ,Mrs Foster said it was not possible to table a motion of no confidence in Mr Byrne, as 10 days notice is required. ,She stopped short of saying whether DUP members of the board would step down, but did not rule it out.  ,Ms O'Neill said in the wake of the PPS announcement on Tuesday that she wanted to once again apologise ""for the hurt that has been caused to so many, including to Bobby Storey's own family who have been thrust into the headlines at a time of immense grief"".,On Wednesday, the party's North Belfast MP John Finucane, who also attended the funeral and was interviewed by the PSNI, said ""mistakes were made"" over the way the funeral was organised. He also apologised. ,But he said there was confusion over the Covid restrictions in place at the time. ,""Mistakes were made, and I think that's very clear, and there are those who will struggle to accept our apology for that and I totally understand that,"" Mr Finucane said. ,The Northern Ireland Assembly has been recalled from Easter recess on Thursday at midday to debate an SDLP motion regarding the fallout from the PPS announcement. ,It has the support of the DUP, Ulster Unionists, Alliance and the Green Party.,SDLP MLA Matthew O'Toole said the recall would provide a ""forum for accountability"".,Simon Byrne has made it clear that he's not for turning on this. There is a massive divide here - we know the anger that the DUP feels about this. ,Arlene Foster said she has written to the Police Ombudsman, she's also raised it with the secretary of state and has called for Her Majesty's Inspectorate of Constabulary to get involved and carry out their own assessment. ,There are those today questioning why the DUP appear to be piling pressure on the chief constable rather than Sinn Féin, although we know that the DUP position remains that Michelle O'Neill should have stepped down at the time.,Clearly, Sinn Féin isn't going to do that and the DUP feels it also has to direct its anger at others involved. ,All of this more widely reflects the view held within grassroots loyalism and unionism for some time now that they feel frustrated that the PSNI doesn't have their confidence in terms of how it has handled events over the last year. ,The South Belfast MLA said the motion, which does not have any binding consequences, was not ""political game play"" but was about holding Sinn Féin ministers to account. ,The motion calls for the assembly to place on record its regret that the Sinn Féin representatives, who attended the funeral last June, breached political messaging and undermined efforts to prevent transmission of the virus. ,Health Minister Robin Swann has urged people to stick with the Covid restrictions in place. ,""What I would say to the people of Northern Ireland is don't let the political distraction that has come out over this take away from the public health message,"" he said. ,""Stick with us, stick with the regulations, stick with the health service and stick with the people who have given so much over the last 12 months.,""Don't let others actions become a reason for ignoring the current regulations."",Mr Swann said we are entering a challenging period over Easter, but we are facing a ""joint enemy"".,UUP leader Steve Aiken said his party had ""real concerns"" about the PSNI's senior leadership, and would be referring the matter to the Police Ombudsman. ,He said attendance at the Storey funeral had undermined the health message, but added that people should continue to follow Covid regulations and not be ""distracted"" from that.,Alliance deputy leader Stephen Farry said that the party continues to have confidence in Mr Byrne. ,""What we are very conscious of is the primary responsibility for what happened lies with Sinn Féin and it would be perverse if we end up in the situation where the agencies who had to handle the situation are being held to account rather than those who were primarily responsible for what unfolded last June."",TUV leader Jim Allister has backed calls for Mr Byrne to resign, and said the decision not to prosecute had ""trashed"" Covid regulations. ,He added that the recall motion would keep a ""spotlight on those who were the lawbreakers and got away with it and those at the same time who were the lawmakers"".,Health Minister Robin Swann said he would have concerns, but he is awaiting the outcome of the Policing Board meeting tomorrow. ",politics
https://www.bbc.com/news/uk-scotland-scotland-politics-56583377,Scottish election 2021: Party leaders clash over need for indyref2,"SNP leader Nicola Sturgeon said the country was in danger of going in the ""wrong direction"" if it left decisions on the recovery to Boris Johnson. ,But her pro-UK opponents said the last thing the country needed was the ""divisiveness"" of a referendum.,They were taking part in a BBC Scotland debate ahead of the election on 6 May. ,The televised debate saw Ms Sturgeon, the country's first minister, go head-to-head with Conservative leader Douglas Ross, Labour's Anas Sarwar, Liberal Democrat Willie Rennie and Lorna Slater, the co-leader of the pro-independence Scottish Greens.,Ms Sturgeon said she would want a second vote on Scottish independence to take place in the first half of the next five-year Holyrood term ""assuming the crisis has passed"".,But she dismissed suggestions that the pursuit of independence was a distraction from the Covid crisis, saying she had spent the day in talks with her clinical advisers rather than on the campaign trail.,She said: ""I'll leave other people to judge if my focus has been on the pandemic or not over the past year. People have seen me literally every single day lead the country's fight against Covid and I have literally spent almost every waking moment doing that.,""I will continue to do that for every single day that is required out of that crisis, because it is not over yet."",But she added: ""Recovery is not a neutral thing. ,""So long as so many of the decisions lies in the hands of Boris Johnson and Westminster, then the danger is we take the wrong decisions and go in the wrong direction just as we've been dragged out of the EU against our will."",This debate was a reminder of the major fault line in Scottish politics - independence or continued union. ,More than six years after the referendum, Nicola Sturgeon confirmed she is aiming to hold another vote in the first half of the next term at Holyrood.,She qualified that by saying this timescale depends on the Covid crisis being past but it's not clear how that will be determined.,The Greens also support indyref2 but avoided being tied down on timing. ,The three other parties - Conservatives, Labour and the Liberal Democrats made their opposition to a referendum clear. ,But the Tory leader Douglas Ross was determined to outdo the others, going as far as saying he did not want to work with the SNP because of independence. ,That prompted Labour's Anas Sarwar to urge him to ""grow up"". ,This election is not just a choice of first minister - there's also a lively debate between those for whom a strong second place finish would be a good result.,But Scottish Conservative leader Douglas Ross said the coronavirus vaccination programme showed the strength of the United Kingdom when it worked together. ,He said more than half of all Scottish adults have now had their first does of vaccine, and added: ""The United Kingdom getting the vaccines that are delivered by our NHS staff, our British armed forces and volunteers. That's the union working for people right now."",Mr Ross asked: ""Why do we have bills in the Scottish Parliament to take forward another independence referendum, but not bills in the Scottish Parliament to support education, to help businesses, to protect jobs?,""None of that is happening because the Scottish government and the SNP are focused on another independence referendum."", On 6 May, voters in Scotland will elect 129 Members of the Scottish Parliament (MSPs). The party that wins the most seats will form the Scottish government. , MSPs pass laws on most aspects of daily life in Scotland, such as health, education and transport. They also have control over some taxes and benefits. Defence, foreign and immigration policies are decided by the UK Parliament., Anyone who lives in Scotland and is registered to vote is eligible, so long as they are aged 16 or over on the day of the election. You can ,. ,Meanwhile, Scottish Labour leader Anas Sarwar highlighted the case of a tertiary cancer patient who had been told she would not be treated in Scotland.,Mr Sarwar said this was because the backlog due to Covid meant operations were only being done on first cancers, and not recurring cancers, so the woman had to travel to England for treatment.,He said: ""That is what should be getting us exercised in this debate today. That is what we should be obsessing about, and that is what the recovery plan needs to be about.,""These are the things that matter to people across the country. They don't care about the badges or the name calling. They care about having services that work for them - what Scotland can do, not what Scotland can't do"". ,But Ms Sturgeon's position was backed by Ms Slater, who said the Scottish Green manifesto would commit to a referendum taking place in the next Holyrood term.,Ms Slater said: ""Around the room we hear people who are in favour of the Union not actually arguing for the Union, but instead arguing that the people of Scotland shouldn't have the right to choose.,""The Scottish Greens would support a referendum in this term of parliament because we think decisions about Scotland should be made by the Scottish people."",Ms Slater said the pandemic had shown that Scotland's economy was propped up by low wages, insecure work and a social security system that is full of holes.,And she said science showed that the planet had less than a decade before the climate breakdown would go past the point of no return - and argued that we ""can't go back to this broken system"" after the pandemic.,Mr Rennie, the Scottish Liberal Democrat leader, said more than 1,500 young people were having to wait more than a year for mental health support. ,And he said the pandemic had also highlighted the need to improve the country's care sector, and the lack of support for schoolchildren who had lost out on education. ,He said: ""I've seen a window into the next five years in the last few weeks - arguments over the constitution, strategy about independence, arguments between Nicola Sturgeon and Alex Salmond which have been poisonous and unpleasant.,""What we need to do is to put all of that behind us and choose a different future. ,""And if we can do that we can tackle mental health, we can tackle education, but we can also make sure our social care workers get the pay they deserve."",If you are reading this page on the BBC News app, you will need to visit the mobile version of the , to submit your question on this topic. ",politics
https://www.bbc.com/news/uk-56585538,Race report: 'UK not deliberately rigged against ethnic minorities',"The Commission on Race and Ethnic Disparities said family structure and social class had a bigger impact than race on how people's lives turned out.,It said children from minority ethnic communities did as well or better than white pupils, but overt racism remained, particularly online.,The Runnymede Trust think tank said it felt ""let down"" by the report.,The commission was set up after Black Lives Matter anti-racism protests across the country last summer - triggered by the killing of George Floyd in the US. ,The main findings were: ,The , that the UK is not yet a ""post-racial country"" - but its success in removing race-based disparity in education and, to a lesser extent, the economy, ""should be regarded as a model for other white-majority countries"".,A foreword to the report by chairman Tony Sewell, an education consultant and ex-charity boss, said: ""We no longer see a Britain where the system is deliberately rigged against ethnic minorities."",While the ""impediments and disparities do exist"", it continued, they were ""varied and ironically very few of them are directly to do with racism"".,The report added that evidence had found that factors such as geography, family influence, socio-economic background, culture and religion had ""more significant impact on life chances than the existence of racism"".,""That said, we take the reality of racism seriously and we do not deny that it is a real force in the UK."",The report also said there is an ""increasingly strident form of anti-racism thinking that seeks to explain all minority disadvantage through the prism of white discrimination"" which it said diverted attention from ""the other reasons for minority success and failure"".,In a statement issued after the report was published, Prime Minister Boris Johnson said it was ""right"" that ministers now consider its recommendations in detail and assess ""the implications for future government policy"". ,He added: ""The entirety of government remains fully committed to building a fairer Britain and taking the action needed to address disparities wherever they exist."",Speaking on BBC Radio 4's Today programme, Dr Sewell said while there was anecdotal evidence of racism, there was no proof that there was ""institutional racism"" in Britain.,""No-one denies and no-one is saying racism doesn't exist"", he said.,""We found anecdotal evidence of this. However, evidence of actual institutional racism? No, that wasn't there, we didn't find that."",Dr Sewell added that the term ""institutional racism"" is ""sometimes wrongly applied"" as a ""sort of a catch-all phrase for micro-aggressions or acts of racial abuse"".,Prof Kehinde Andrews, a professor of Black Studies at Birmingham City University, said the report was not a ""genuine effort to understand racism in Britain"".,Prof Andrews said: ""It's complete nonsense. It goes in the face of all the actual existing evidence. This is not a genuine effort to understand racism in Britain. This is a PR move to pretend the problem doesn't exist."",Baroness Kishwer Falkner, chair of the ,, said: ""This report rightly identifies the varied causes of disparities and by making recommendations to address them gives the government the opportunity to design policy targeting the sources of inequality. ,""There are a number of recommendations we can play a leading role in and we welcome the recognition that additional funding would help us carry out our important work to tackle discrimination and disadvantage."",Dr Halima Begum, chief executive of the Runnymede Trust, a race equality think tank, said she felt ""deeply, massively let down"" by the report, and that the government did not have the confidence of black and minority ethnic communities.,Asked for her view on the commission's suggestion that the UK is not institutionally racist, she said: ""Tell that to the black young mother who is four times more likely to die in childbirth than her young white neighbour, tell that to the 60% of NHS doctors and nurses who died from Covid and were black and ethnic minority workers.,""You can't tell them that, because they are dead.,""Institutionally, we are still racist, and for a government-appointed commission to look into (institutional) racism, to deny its existence is deeply, deeply worrying."",She added: ""We feel that if the best this government can do is come up with a style guide on BAME terminology, or what we should do about unconscious bias training, or extend a few school hours, then I'm afraid this government doesn't carry the confidence of black and ethnic minority communities any longer, certainly not on race."",Dr Begum also claimed the report had failed to acknowledge the ""suffering"" of black and ethnic minority communities, adding: ""All this is is a whitewash and a script that has been written to 10 Downing Street."",She also questioned the suitability of Dr Sewell and head of the Number 10 policy unit Munira Mirza, who had a role in setting the commission up - both of ,. ,The 258-page report makes 24 recommendations which include: ,Frances O'Grady, general secretary of the Trades Union Congress (TUC) said the commission had ""chosen to deny the experiences of black and minority ethnic workers"" who were ""far more likely"" than white workers to be in ""low-paid, insecure jobs"".,She added they have been ""far more likely to be exposed to Covid infection and far more likely to die - because they are far more likely to be in frontline roles.,""This is institutional racism. And it traps too many black and minority ethnic workers in poverty, insecurity and low pay."",Labour leader Sir Keir Starmer said he felt ""disappointed"" with what he had seen of the report's findings so far, insisting there were ""structural"" issues that needed to be addressed.,Speaking on a visit to Leeds, he told reporters that whilst there was ""an acknowledgement of the problems, the issues, the challenges that face many black and minority ethnic communities"" there was also ""a reluctance to accept that that's structural"".,The report had been due to be published last year but was ,, with the commission blaming Covid restrictions and the large number of responses from the public for the delay. ,Please include a contact number if you are willing to speak to a BBC journalist. You can also get in touch in the following ways:,If you are reading this page and can't see the form you will need to visit the mobile version of the , to submit your question or comment or you can email us at ,. Please include your name, age and location with any submission. ",politics
