page,title,article
https://www.newtimes.co.rw/business/gender-equality-next-frontier-establishing-inclusive-reality,"Gender equality is the next frontier in establishing an inclusive reality
","In a Cassava field just outside Kabunjwiri, a small village in the Gisagara district in rural Rwanda, Claudine is finishing the last stages of harvesting before the rainy season begins in April. She works 8-10 hours a day in the field, and spends another 4-6 hours cooking and doing house chores. Across sub-Saharan Africa, women produce up to 80% of foods for household consumption and sale in local markets, according to a report by the World Bank and the Food and Agriculture Organization (FAO). Women sow the seeds, do the weeding, cultivate and harvest the crops, while they also tend to the aftermath of farming as they sell surpluses in local markets. But despite their indisputable contribution to agriculture in the continent, the gender gap is very noticeable in the sector. Women own less than 1 percent of lands. In the Ethiopian coffee market, for example, women provide 75 per cent of the labor but earn only 34 percent of total income generated.,Agriculture is only one example of the ever present gender inequality that is extremely dominant across Africa. According to the African Development Bank and the UN, the continent’s Gender Equality Index ranges from 24.0% to 79.7%, averaging at 48.6%, while the rest of the world stands at 68.6%.,At work, at home, and in school, inequality is all around,When looking at the labour force, Africa scores ahead of other regions and continents on women’s labour-force participation, but 89.7 percent of employed women work in low-paid jobs in the informal sector, leaving them little hope for advancement, higher wages, or promotions. And while the continent has the highest female representation on company boards of any region, standing at 25 percent (the global average is 17 percent), the share of women in middle management has regressed by 1 percent a year since 2015. Only 15% of formal-sector firms have a woman as the managing director, while 32% have some degree of female ownership. Women account for more than 50 percent of Africa’s combined population, but in 2018 generated only 33 percent of the continent’s collective GDP.,Unpaid care work, including child and elderly care, house chores and more, continues to fall disproportionately on women’s shoulders, as they bear the burden of Africa’s infrastructure deficit. The lack of access to the most basic services, especially power and water, is the main problem, as women and girls spend up to 20 hours a week collecting firewood and water, which over the course of a year, can represent up to two months of labour.,In terms of education, finance, and technology women are left far behind, with financial inclusion steadily declining since 2017. In terms of education, there is progress in primary level parity between girls and boys, but it is non-existent in the secondary level, as most of the girls are still pulled out of school to help with house chores and labour. Women are 34 percent less likely than men to have a smartphone, hindering potential adoption of digital solutions.,In general, Women and girls carry most of the care and domestic burden, are not likely to be employed in the formal sector or earn high wages, do not have access to financial services, and lack proper education levels that could change this predicament.,Despite the vast inequality, women are very active as economic agents, performing the majority of agricultural activities, owning a third of all businesses, and determining the welfare of their families and the life prospects of their children. According to McKinsey,  Africa could add $316 billion or 10 percent to GDP in the period to 2025 if each country makes advances in women’s equality to match the country in the region that has achieved the most progress towards parity. However, At the current rate of progress, Africa could take more than 140 years to achieve gender parity.,The only way forward,As with many other issues and sectors regarding Africa’s needed development, technological advancements could lead entire communities to leapfrog the current gloom situation, and reach a more equal reality. Various solutions are already out there, and many more are currently under development, with COVID19 accelerating innovation in multiple remote fields.,Solar energy and off-grid solutions are the perfect fit for hundreds of millions who are living without infrastructure in their villages and homes, and are already saving women and girls vast amounts of time that was previously spent on house chores including the procurement of combustible fuels, cooking on an open fire, and more. The light is also helping girls spend more time doing school work, as they are finally able to study after dark. As solar energy becomes more accessible across the continent, millions of women are expected to enjoy power in coming years, and according to a recent report by IRENA, sub-Saharan Africa could meet up to 67 percent of its energy needs by 2030, which could prove to be extremely meaningful for gender equality in the region.,Education is getting an added boost from multiple remote services and edtech companies that reach girls everywhere, allowing them to receive global education and gain important skills. In recent years, mobile money providers across the region began offering educational content and made big advancements in the field. According to Markets and Research, the e-learning market is expected to reach $1.8 billion USD by 2024, and COVID19-related lockdowns have established an even greater cause for speeding up development.,Fintech solutions are abundant across Africa, with mobile money in the lead, and other crypto-based, and digital services taking the continent by storm, presenting women with financial inclusion for the first time ever. Digital solutions not only create new opportunities for women to open bank accounts, which was previously limited by cultural and regulatory difficulties, but also allows traveling to long distances without the worry of carrying cash, providing more opportunities to get out of rural areas. A study done in Kenya checking the long-term effects of mobile money found that approximately 185,000 in the country women moved from agriculture to small-scale retail as a result, leading to a higher income and better opportunities for advancement.,Internet connectivity plays a major role in allowing access to these important advancements, and inventive technologies including TV White Space and satellite broadband are providing millions with access, while new ventures alongside the biggest companies in the world including Facebook and Microsoft are working to reach millions more solutions.,It has long been recognized that investing in women and girls is one of the most effective ways of promoting development. Educated women are far more likely to have fewer children, and higher means to provide for them, and the resulting improvement has multiplier effects that expand with each generation. Studies have also found that each year of additional schooling for girls reduces infant mortality by 5-10%, and the children of mothers with five years of primary education are 43% less likely to be malnourished. This is meaningful everywhere, and particularly for a continent expected to double its population in the coming decade. Hopefully, innovative thinkers will continue paving the path to an equal, fair future for all."
https://www.newtimes.co.rw/business/why-over-35000-households-need-switch-newer-refrigerators,"Why over 35,000 households need  to switch to newer refrigerators
","Experts and dealers in cooling appliances have said that thousands of consumers ought to switch to energy-efficient and climate-friendly refrigerators and air conditioners to help Rwanda implement Amendment to cut production of Hydrofluorocarbons (HFCs) that are said to be powerful climate-warming gases.,The 2016 Kigali Amendment to the Montreal Protocol which entered into force in 2019 is an international treaty designed to phase out such powerful climate-warming gases by more than 80 percent in the next 30 years.,Once phased out, the gases could reduce 0.5 degrees Celsius of global warming.,Jean Paul Nsengiyumva, the proprietor of Cold Air Ltd that deals in the appliances told Doing Business that there exists cooling appliances on the domestic market which have both environmental and economic benefits.,“Besides consuming less electricity, they do not pollute the air. Going by an example, if someone used to spend 200 grams of cooling gas, the energy-efficient appliances spend around 80 grams. This means that the less cooling gas used, the less power is consumed,” he said.,Aline Uwase, a restaurant owner in Kigali city said that the old fridge she uses consumes half of the power the whole business consumes.,“The government decision to embrace energy-saving cooling appliances is timely. However, there should be a financing mechanism to help people switch to energy-efficient refrigerators because the upfront cost is high. ,Some people do not have knowledge about this energy-saving and climate-friendly refrigerators,” she said.,According to the domestic refrigerating appliance and room air conditioner market and feasibility assessment by Rwanda Cooling Finance Initiative (RCOOL FI), there has been a steady increase in refrigerators in the residential sector since 2012 with an estimated stock of 97,512 refrigerators owned by households in Rwanda as of last year.,Although most of the refrigerators found in households are new with 58.6 per cent bought less than three years ago, there is 36 per cent which are approximately 35,104 households who purchased their refrigerating appliances over four years ago and may still use powerful climate-warming gases.,The largest market potential for refrigerators is in Kigali city, followed by the Southern Province, the Western Province, the Eastern Province, and finally the Northern Province while the air conditioners market at the household level in Rwanda is relatively small.,Also, the findings indicate that the best potential residential market segments are middle-income households with about 66.3 per cent market share- and high-income households with controlling about 23.2 per cent of the market share including micro-entrepreneurs from urban areas controlling about 26.9 per cent.,However, the study revealed there are some financial and technical barriers that would need to be addressed to accelerate the transformation of the market towards energy-efficient cooling equipment.,It shows that some of the barriers affecting household clients in adopting energy efficient refrigerators particularly those who already have old appliances is the high upfront cost.,There is also the aspect of lack of trust that the product will achieve energy as well as lack of awareness on energy savings in the long run.,Technology suppliers, it indicates, face the challenge of financing energy-efficient cooling equipment because they lack suitable financing.,Air conditioners market in Rwanda is less than 30 percent according to studies.,However, 42.3 per cent of suppliers are optimistic that with the introduction of a new financial mechanism, this trend may shift to between 30 and 40 per cent.,The 42.3 per cent of the respondents said that the current market penetration of refrigerator in Rwanda ranges between 61 and 70 per cent but believe with the introduction of a financial mechanism market penetration can increase to between 70 and 80 per cent.,In order to ensure the appliances are energy-efficient and climate-friendly, the National Green Growth and Climate Resilience strategy for climate change and low carbon development and National Cooling strategy are among the potential tools to reduce powerful climate-warming gases used in cooling appliances.,To cut the consumption of powerful climate-warming gases used in cooling appliances, Rwanda has drastically reduced, by 54%, the importation of gases known as ‘hydrochlorofluorocarbons (HCFCs)’ that deplete the ozone layer paving the way for implementing the Kigali Amendment to the Montreal Protocol.,Martine Uwera, the National Focal Point of Montreal Protocol, recently told Doing Business that Rwanda has reduced the importation of chlorofluorocarbons (HCFCs) from 4.1 tonnes in 2010 to 1.89 tonnes currently.,The green growth strategy also highlights that implementation of low energy consumption standards in buildings and services in Rwanda could result in an 80 per cent reduction in energy use.,Studies show that old refrigerators that are not energy-efficient consume an estimated Rwf4 billion power annually of which Rwf2.4bn is an expense that could be saved."
https://www.newtimes.co.rw/business/govt-reopens-20-year-bond-raise-rwf20bn,"Govt reopens 20-year bond to raise Rwf20bn
","The government is back on market seeking to raise Rwf20 billion through a 20-year Treasury bond to among others fund government projects in the post Covid-19 pandemic, according to the central bank.,Bids for the bond, whose coupon will be determined by book building, will be received from March 24 (this Wednesday) and its settlement date set on Friday, March 26., “On 24th March 2021, Rwanda Government through Central Bank will reopen the 20 year Treasury bond (worth Rwf20billion),” the Central bank said in a tweet last week. ,The institution noted that the upcoming bond (N° FXD 6/2020/20YRS) was first floated to the public on August 20, 2020, attracting good investors’ appetite with 149.6% per cent subscription level.,The reopening however, is done for the purpose of market development; giving investors in the market another investment opportunity but also give the bond a current market price- which is by the market players.,In addition the bank highlighted that the move is expected to pay way for bond consolidation and increase liquidity in the secondary market.,The Central Bank also said that this will pave way for Bond consolidation and increase liquidity in the secondary market. ,“Instead of having so many scattered bonds, bond reopening allows having few bonds but with enough volume which increases the chance of being traded on the secondary market,” a reliable source from BNR told the media.,The Treasury bond sale is under the government’s quarterly issuance programme that started in 2014 to raise money to fund infrastructure projects.,The programme also seeks to develop the local capital market.,The bond will have 13.150% per annum coupon repayment which will be valid for completion (Redemption Date) until July 27th, 2040.,However, interest will be subject to withholding tax at the rate of 5 per cent for EAC residents and 15 per cent for non-EAC residents.,The allotment process is based on mainly; Retail investors (Domestic) and Institutional investors (domestic and regional).,All investors are therefore required to complete bond application forms available on the National Bank of Rwanda website."
https://www.newtimes.co.rw/business/kigali-based-entrepreneurship-hub-invest-12m-rwandas-start-scene,"Kigali based entrepreneurship hub to invest $12m in Rwanda’s start-up scene
","Norrsken, a global Entrepreneurship hub has earmarked $12m   for investment into the local and regional entrepreneurship scene through their Kigali Campus.,The campus which is expected to commence operations in September 2021.,Norrsken purchased the plot of the former Belgian school in the city center to build what will become the biggest hub for entrepreneurs in East Africa.,The hub will house a mix of start-ups, incubators, accelerators, investors, lawyers, accountants and other corporates, forming an ecosystem that enables entrepreneurs to build strong companies that solve local and global challenges.  ,Norrsken announced its debut in Rwanda in 2019 which is its second global hub after Stockholm (Sweden) hub and is expected to boost Rwanda’s vision to become a regional entrepreneurship and innovation hub.,Pascal Murasira, the Managing Director for Norrsken in East Africa said that their involvement in the local and regional scene is among other things informed by challenges in the entrepreneurial scene.,“Local entrepreneurs have been working on great ideas with potential to solve some of the world’s toughest challenges. However, they face scalability challenges due to limited resources and lack of powerful networks. Norrsken will provide an opportunity for such entrepreneurs to not only build useful products but also be able to reach as many people as possible in East Africa and beyond,” he said.,Among the opportunities in the local ecosystem easing entry and operations, the firm says includes the legal ecosystem making it easier for the firm to accelerate growth of start-ups.,“The legal ecosystem is evolving rapidly to become one of the most conducive for entrepreneurs across Africa. This will make it even easier for Norrsken to accelerate the growth of local startups towards unicorn status,” he said,“Evolving legal environment, the creation of Kigali International Finance Centre, and top universities such as ALU and Carnegie Mellon starting to release highly qualified graduates - just to name a few,” he added.,Murasira said that they are seeking to work with like-minded partners from corporations to nonprofits to boost the local and regional entrepreneurship scene."
https://www.newtimes.co.rw/business/kenol-kobil-rwanda-rebrands-rubis-following-acquisition,"Kenol Kobil Rwanda rebrands to Rubis following acquisition
","Kenol Kobil Rwanda fuel outlets will henceforth be known as Rubis Energie Rwanda following a move to rebrand outlets across the country.,Kenol Kobil, a regional firm with presence in Rwanda involved in the storage, distribution and sale of petroleum and liquefied petroleum gas is in the process of rebranding to RUBIS following acquisition French energy firm Rubis Energie in 2019.,Rubis Energie is part of a French firm with specialized operations in the storage, distribution and sale of petroleum, liquefied petroleum gas, food and chemical products.,The rebranding in Rwanda which is currently underway follow similar rebranding across the region where the firm has presence.,In other markets, Rubis has commenced acquiring other players as they seek to be a market leader across the bloc.,In Kenya, Rubis announced a partnership with Brioche, a Rwandan coffee shop and bakery to set up cafés at their service stations nationwide.,Kenol Kobil has over 50 service stations in Rwanda and in 2018 acquired 10 service stations previously operated by Delta Petroleum Rwanda.,Faith Irungu, the Country Manager of the firm said that rebrand is part of ongoing integration of Kenol Kobil subsidiaries across the region as the new management seeks to improve outlook of outlets. ,She said that the new management has significantly higher standards in aspects such as outlook, brand positioning and customer service.,She said that the rebrand and change of ownership will not affect standing engagement with employees, service providers and others.,She however noted that employees are currently undergoing training in line with the firm’s service delivery protocols.,Petroleum is one of the most lucrative industries in Rwanda, based on official trade statistics. While petroleum products are one of the country’s leading imports, in volume and value, they are also one of its top re-exports. ,In 2020, Rwanda spent $348.7 million on the importation of 691,400 tonnes of fuel and lubricants.  ,Petroleum products are also one of Rwanda’s re-exports with 2020 values standing at $75.9 million down from $135.7 million in the previous year, central bank statistics indicate.,The country has about twenty active oil-marketing companies involved in the importation, transportation, storage, distribution and wholesale of petroleum products.,Before the Covid-19 lockdown, Rwanda was estimated to consume about 20 million litres of fuel per month, according to official data which reduced during the measures to curb the pandemic. ,The demand for petroleum is estimated to have surpassed 640,000m3/per annum as of last year, up from 360,000m3/per annum in 2016, reflecting growing opportunities for investors.,The Government has been seeking for private sector investments in oil storage to cater for growing demand.,Increased investment would also raise the country’s fuel storage capacity and cushion the economy against any shocks.,The current level of demand is expected to require 198 million litres in reserves by 2024."
https://www.newtimes.co.rw/business/how-spot-pyramid-scheme-rwanda-tell-tale-signs,"How to spot a pyramid scheme in Rwanda; tell tale signs
","Last week, The Ministry of Trade and Industry warned the public to be wary of engagement with Century Heng Yue (CHY) Ltd, saying it was luring people into a pyramid scheme.,This is however not the first pyramid scheme to be reported in the local market as cases have grown in the recent past.,As a section of Rwandans seek to make investments and engage in productive economic activity, it’s easy to fall prey to pyramid schemes guised as investment opportunities.,Recent examples of other pyramid schemes that have been found to have operated in the country previously include Amway Group Ltd and Master Global Partners Ltd where six suspects were arrested in November 2019, for running multi-level marketing scams (pyramid scheme).  In September 2018, World Ventures, a firm that had been branding itself as a multi-level travel company was also deemed as a possible pyramid scheme by the government.,Growth and returns is largely premised on the number of members you recruit on the platform as opposed to sales. Often, there are registration fees or initial investment for new members received by the organization.  The initial members receive hefty payouts from fees of people in lower ranks rather than the selling of services or products.,You are forced to buy other things you don’t want or need just to stay in good standing with the organization or to receive promotions.,It is common for pyramid schemes to seek to inspire new members through testimonies of the lavish and prosperous lives of initial members in a bid to entice new members to be actively involved in promotional activities. Others boast of having global renowned celebrities as their members in a bid to portray the entities as legitimate. The phrase, “even so and so is our member” is not uncommon in pyramid scheme recruitment process.,The pitches and presentations made to attract members are often largely about prosperity, riches, fortunes and accomplished dreams as opposed to business opportunities and models to be used.,It is not uncommon for new recruits to leave feeling inspired and motivated after the presentation but uncertain about the entity’s business model and approach.,When one conducts due diligence, it is not uncommon to find that the said firm runs business activities in aspects that it is not registered under. It is therefore advisable to conduct due diligence on the registration of business one seeks to enter to confirm the legal registration."
https://www.newtimes.co.rw/business/covid-19-vaccine-rollout-across-africa-dire-need-larger-momentum,"Covid-19 vaccine rollout across Africa is in dire need of a larger momentum
","This month, Rwanda became the first country in Africa to roll-out the Pfizer-BionTech Covid-19 vaccine, with the help of COVAX. Alongside vaccines arriving in Ghana in late February, this marks the beginning of the continuous efforts of local and international governments together with global organisations and various donors, all trying to find creative solutions for the continent’s vast vaccination needs that are currently far from being met.,According to the Economist Intelligence Unit, Africa, like many other developing countries, will not be able to vaccinate health workers, older population, and other vulnerable groups before 2023, and this timeline could extend to 2025 for universal coverage. Therefore, the continent may suffer vastly from the pandemic’s socioeconomic impacts due to challenges around vaccine access.,Around the world, socioeconomic effects can be witnessed in multiple areas and sectors, and Africa, albeit the relatively low numbers of cases, is no different. The pandemic caused an estimated 6.1 per cent fall in per-capita income in 2020 and is expected to lead to a further 0.2 per cent decline in 2021, setting average living standards back by a decade or more in a quarter of Sub-Saharan African economies. According to the World Bank, tens of millions are expected to be pushed into extreme poverty.,For oil exporters such as Angola, Nigeria, and South Africa, Covid’s impacts aggravated a crisis that began in 2015, with commodity prices falling, global lockdowns resulted in reduced exports for other commodities including iron, cotton, coffee and sugar, travel restrictions have halted tourism and hospitality industries across the continent, and strict national lockdowns since have affected small businesses.,To reach herd immunity and kick start the economy, Africa needs 1.5 billion vaccines, and global efforts to reach that goal are mounting. The most meaningful initiative is currently COVAX, bringing together governments, global health organisations, manufacturers, scientists, private sector, civil society and philanthropy, with the aim of providing vaccines to people in all corners of the world, regardless of their wealth. The facility was the first to deploy vaccines across the continent, with Rwanda, Ghana, and Côte d’Ivoire being the first countries to begin vaccinating their health workers. The African Union has secured 270 million vaccine doses from a mix of sources including Pfizer and BioNTech, Oxford University and AstraZeneca, and Johnson & Johnson. But alongside global and local efforts, challenges are still vast.,Even with hundreds of millions of doses secured by the various entities, wide scale vaccine distribution in Sub-Saharan Africa is facing multiple obstacles, as infrastructure, as always, is insufficient across sectors. Poor transport and distribution systems, weak health systems, and insufficient cold storage systems are a few to name. Widespread distrust is another concern, as vast parts of the population are afraid to get the jab. The cost is another major issue, expected to reach $8-16 billion, with an additional markup of 20-30 percent for program delivery.,There are a number of issues to tackle in the path of reaching adequate vaccination rates across the continent:,Covax participation: today, almost half of Africa’s 55 countries are participating in the COVAX facility. Participation should grow to strengthen pooled bargaining power and ensure wider access to the global vaccine supply.,Secure other paths for vaccines: COVAX promised access to vaccines for up to 20% of participating countries’ population. As herd immunity currently requires at least 60% of the population to be vaccinated, countries across the continent must look for other ways to access more doses, including direct agreements with big pharma producers, and national R&D.,Allocate more funds to in house Research: in a recently published Covid-19 Vaccine Development and Access Strategy, the Africa Centres for Disease Control and Prevention (Africa CDC) set accelerating local involvement in research and development as the leading key objective. Today, only 2% of clinical trials conducted worldwide occur in Africa. Investments in research and development will ultimately lead to increased efficacy of vaccines for populations across the continent, as can be seen in India. For example, Nigerian laboratory announced the development of a 90% effective vaccine back in September in the preclinical trial but it has not been able to carry out clinical trials due to lack of support and funding.,Invest in rural infrastructure: in rural, last-mile communities, as well as in large cities across the SSA region, electricity is unreliable, and often non-existent, leaving solar power as the only path to reach full immunisation. Added efforts should be taken to fast-track deployment of off-grid solar electrification solutions, with a focus on local healthcare centers that could use the power to properly store vaccines. Since 2018, and long before Covid was ever an issue, UNICEF, alongside local governments and Gavi, began buying and installing solar-powered vaccine-storage fridges throughout the region, supporting vaccination efforts for various diseases.,Finally, continued global support is crucial in reaching adequate immunisation rates. Wealthy countries and donor organizations must continue their support, while private companies working across the continent should ramp up efforts to expand solar solutions, last mile delivery technologies, and cold storage devices.,The road to Covid eradication is still long, and Africa is facing a longer path than most. With focused efforts on multiple accounts millions of lives can be saved., The writer is an entrepreneur and investor, leading sustainability-driven companies in Africa and the Middle East"
https://www.newtimes.co.rw/business/international-job-market-opportunities-rwandan-data-science-graduates,"International job market opportunities  for Rwandan data science graduates
","Rwandan data science graduates could benefit from international job market opportunities following the new partnership between African Institute for Mathematical Sciences and Ishango.,Ishango is a social enterprise creating highly skilled jobs in Africa while the African Institute for Mathematical Sciences (AIMS) is Africa’s first and largest network of centers for innovative post-graduate training in mathematical sciences.,The new partnership aims to connect top African data scientists with international work experience opportunities.,Eunice Baguma Ball, Co-Founder of Ishango said that the partnership will boost African data science graduates’ employment prospects through a fully funded, three-month fellowship program.,“The fellows will be equipped with technical and soft skills to prepare them for the international job market. Hosted at the AIMS Rwanda Centre of Excellence in Kigali, fellows will also get real-world experience, working remotely on projects and adding value to international organizations,” she said.,Baguma said that leveraging data has become increasingly crucial for the growth of businesses and organizations across the globe and therefore African data scientists should tap into such an opportunity.,“Africa now has a growing pool of bright and talented data scientists who have the potential to compete at a global level. Our goal is to be the bridge between Africa’s top talent and global businesses. Through this partnership with AIMS, we now have access to the very best that Africa has to offer. We look forward to working together to develop the data leaders of tomorrow,” she said.,She said that for the pilot phase, the fellowship programme is looking to work with 12 fellows.,Applications for the summer programme are now open.,Successful applicants, she said, will be interviewed to assess their technical knowledge and motivation.,“Once accepted on the programme they will be matched to company projects that align with their skills profile and career goals. Over the 12 weeks of the programme, 8 of which will be based at our hub in Kigali, they will be provided with training and supported by mentors to deliver their projects. Thereafter they will be supported to find longer employment opportunities,” she explained.,She noted that they have partnered with AIMS to launch the programme at their centre of excellence in Kigali adding that they will then look to expand to other countries in the region.,“We aim to place all our fellows into long-term employment opportunities. We believe that the experience and skills they will get working on projects for global companies will go a long way in boosting their employment prospects. Our goal is to create 500 highly skilled data science jobs in Africa over the next five years,” she said.,Charles Lebon Mberi Kimpolo, Director of the AIMS Industry Initiative said that with the growing technological advancements, top talented African data scientists should be connected.,“In today’s smarter communities, traditional data processing software, and techniques cannot deal with the analysis required to understand human behavior. Specialized technical skills and tools are needed to deal with such large data and information.,This is why we need to build capacity and create a critical mass of data scientists equipped with the required skills to understand how to perform complex data tasks across various businesses,” he said.,The partnership, he said, will provide AIMS alumni with opportunities to learn new skills and contribute to human capital development needed by partner companies.,“We believe this data science and AI fellowship program will boost AIMS alumni’s employability skills and enhance their transition to relevant employment,” he noted.,The efforts, he said, will help global companies to access an untapped talent pool – African Data Scientists.,The fellowship takes the top graduates across Africa and gives them both Data Science knowledge and real-world project experience through a three-month, fully funded Data Science fellowship program, which equips them to tackle quantitative problems across sectors, industries, and continents. "
https://www.newtimes.co.rw/business/previously-postponed-pan-african-trade-fair-be-held-kigali-december,"Previously postponed Pan-African trade fair to be held in Kigali in December
","The second Intra-African Trade Fair (IATF2020) which was initially set to take place from September 1 to 7 2020 in Kigali will be held in December this year following postponement in light of the Covid-19 pandemic.,The decision was reached after consultation by the African Export-Import Bank (Afreximbank), the African Union (AU) and the Government of Rwanda.,The second Intra-African Trade Fair (IATF2021) is now set to take place from 8 to 14 December 2021.,African Export-Import Bank (Afreximbank), the African Union (AU) and the Government of Rwanda decided to shift the date of the continental trade fair, which was previously scheduled to hold from 6 to 12 September 2021, to allow for a broader roll-out of Covid-19 vaccines across the continent and ensure that the event is held under the most optimal health conditions., The decision was made at the extraordinary meeting of the IATF2021 Advisory Council held virtually on 18 March 2021.,Organisers say that the new date will enable organizers to take stock of all the latest safety precautions, allow for wider roll-out of Covid-19 vaccines and to put in place effective Covid-19 safety and prevention protocols.,Olusegun Obasanjo, IATF2021 Advisory Council Chairman and former President of Nigeria, said that the new date would also give countries and businesses more time to prepare for  the fair. ,“Our intent is that all participants garner the full benefits of the abundant networking, trade and investment opportunities that will arise at IATF2021. Despite the Covid-19 pandemic, there is a lot of enthusiasm for the event. The extra time given to preparatory activities and effective roll-out of Covid-19 vaccines will allow IATF2021 to be held under favourable conditions, giving more confidence to participating governments, exhibitors, buyers, conference delegates and other visitors,”.,“IATF2021 will bring together continental and global players to showcase and exhibit their goods and services, and explore business and investment opportunities enabled by the single market created by the African Continental Free Trade Agreement (AfCFTA) to accelerate Africa’s integration and industrialisation agenda,” he added.,The second edition of the biennial Intra-African Trade Fair (IATF) aims at providing a platform for entry into a single market of over 1.2 billion people joined together by the African Continental Free Trade Area, serving as a marketplace bringing together continental and global buyers and sellers and showcasing goods and services.,It will enable stakeholders to share trade, investment and market information as well as trade finance and trade facilitation solutions designed to support intra-African trade and African economic integration.,IATF2018 attracted more than 1,000 exhibitors from 45 countries and across 20 sectors, generating in excess of $32 billion in deals, some of which Afreximbank has already financed."
https://www.newtimes.co.rw/business/oecds-updated-guidance-tax-treaties-and-impact-covid-19,"OECD’s updated guidance on tax treaties and the impact of Covid-19
","The Covid-19 pandemic has impacted every part of our lives – tax treaties have not been immune to this impact.,Earlier this year, the OECD issued updated guidance on the impact of the Covid-19 pandemic on tax treaties. This guidance is intended to provide further certainty to taxpayers as it reiterates most of its original guidance issued in April 2020, a few months after the pandemic broke out.,A number of countries have also issued their own guidance to provide certainty to taxpayers who could be impacted by their own tax treaties or domestic tax legislation – most countries have followed the OECD guidance.,The guidance applies only to situations arising during the pandemic and it is, therefore, temporary in nature, seeking to avoid instances of double taxation whilst ensuring that it is not relied upon to create instances of double non-taxation.,1. The creation of a permanent establishment (‘PE’) and the interruption of construction sites;,2. Changes in residence for entities and individuals;,3. Income from employment.,The main theme of these guidelines is that, in view of the fact these changes are exceptional and temporary, they should not create adverse tax consequences for the taxpayer. This may be seen in the ‘Home Office’ section of the guidance which states that in order for a home office to be deemed to be a PE, it must have a degree of permanence and be at the disposal of the enterprise. The ‘degree of permanence’ will not be met if the home office has simply been created as a result of the Covid-19 pandemic, as individuals working from home are typically doing so as a result of public health emergencies.,However, it is likely that a number of companies will allow employees to work from home even once the pandemic is over. One needs to look at the facts and circumstances of each case to determine whether such home office will result in a PE for the enterprise post-Covid 19, as this could result in a material tax consequences for the enterprise.,A matter of great concern is also the impact that the pandemic will have on the tax residence of companies, in view of the travel restrictions which have been imposed which do not allow board members or senior executives to travel to the company’s typical place of residence. In view of the fact that the change in location of board members or senior executives is extraordinary and temporary, this will unlikely result in any changes to the company’s tax residence status under a treaty.,A similar general conclusion is discussed for concerns relating to the residence status of individuals. Here again, it is unlikely that such a temporary change could result in a change in the tax residence of the individual as a result of applying the tie-breaker rules.,As mentioned, each case should be looked into separately depending on the specific facts and circumstances and taking into consideration any specific guidance issued by the country in question on the impact of the pandemic on tax matters."
